unique_id,ds,y,Chronos
107,2019-01-30 06:00:00,189,215.60191
107,2019-01-30 07:00:00,362,388.61578
107,2019-01-30 08:00:00,435,397.83282
107,2019-01-30 09:00:00,408,352.64468
107,2019-01-30 10:00:00,278,286.19153
107,2019-01-30 11:00:00,243,253.40797
107,2019-01-30 12:00:00,236,234.80112
107,2019-01-30 13:00:00,218,255.18008
107,2019-01-30 14:00:00,299,290.62177
107,2019-01-30 15:00:00,299,306.5705
107,2019-01-30 16:00:00,273,236.5732
107,2019-01-30 17:00:00,426,314.54486
107,2019-01-30 18:00:00,534,434.16055
107,2019-01-30 19:00:00,497,380.99805
107,2019-01-30 20:00:00,468,361.50513
107,2019-01-30 21:00:00,509,392.51657
107,2019-01-30 22:00:00,357,372.13757
107,2019-01-30 23:00:00,186,189.61298
107,2019-01-31 00:00:00,116,115.185455
107,2019-01-31 01:00:00,51,71.769394
107,2019-01-31 02:00:00,26,36.32772
107,2019-01-31 03:00:00,25,20.378967
107,2019-01-31 04:00:00,30,31.89751
107,2019-01-31 05:00:00,69,76.19961
107,2019-01-31 06:00:00,227,210.87798
107,2019-01-31 07:00:00,368,379.22595
107,2019-01-31 08:00:00,336,385.42822
107,2019-01-31 09:00:00,372,356.18884
107,2019-01-31 10:00:00,295,303.91238
107,2019-01-31 11:00:00,250,256.06613
107,2019-01-31 12:00:00,203,234.80112
107,2019-01-31 13:00:00,222,256.06613
107,2019-01-31 14:00:00,294,300.36823
107,2019-01-31 15:00:00,305,301.25427
107,2019-01-31 16:00:00,282,242.77548
107,2019-01-31 17:00:00,466,329.6076
107,2019-01-31 18:00:00,501,438.59076
107,2019-01-31 19:00:00,474,383.65616
107,2019-01-31 20:00:00,458,370.3655
107,2019-01-31 21:00:00,484,401.37698
107,2019-01-31 22:00:00,433,422.642
107,2019-01-31 23:00:00,306,245.4336
132,2019-01-25 00:00:00,382,261.93933
132,2019-01-25 01:00:00,107,134.76588
132,2019-01-25 02:00:00,22,39.860336
132,2019-01-25 03:00:00,10,34.166
132,2019-01-25 04:00:00,31,32.26789
132,2019-01-25 05:00:00,121,121.47911
132,2019-01-25 06:00:00,212,223.02805
132,2019-01-25 07:00:00,245,217.33372
132,2019-01-25 08:00:00,223,213.5375
132,2019-01-25 09:00:00,187,189.8111
132,2019-01-25 10:00:00,211,194.5564
132,2019-01-25 11:00:00,121,142.35834
132,2019-01-25 12:00:00,155,172.7281
132,2019-01-25 13:00:00,302,313.18832
132,2019-01-25 14:00:00,371,343.5581
132,2019-01-25 15:00:00,381,340.71094
132,2019-01-25 16:00:00,457,439.41272
132,2019-01-25 17:00:00,391,370.13165
132,2019-01-25 18:00:00,366,387.21466
132,2019-01-25 19:00:00,447,383.41843
132,2019-01-25 20:00:00,400,421.38065
132,2019-01-25 21:00:00,513,484.96735
132,2019-01-25 22:00:00,358,426.12592
132,2019-01-25 23:00:00,385,329.32227
132,2019-01-26 00:00:00,227,244.85632
132,2019-01-26 01:00:00,105,132.86777
132,2019-01-26 02:00:00,23,24.675447
132,2019-01-26 03:00:00,8,27.522614
132,2019-01-26 04:00:00,13,32.26789
132,2019-01-26 05:00:00,105,129.07155
132,2019-01-26 06:00:00,155,216.38466
132,2019-01-26 07:00:00,175,218.28278
132,2019-01-26 08:00:00,161,195.50543
132,2019-01-26 09:00:00,153,167.98282
132,2019-01-26 10:00:00,104,170.82999
132,2019-01-26 11:00:00,90,128.1225
132,2019-01-26 12:00:00,168,171.77905
132,2019-01-26 13:00:00,177,301.79962
132,2019-01-26 14:00:00,317,338.8128
132,2019-01-26 15:00:00,305,362.53918
132,2019-01-26 16:00:00,306,424.2278
132,2019-01-26 17:00:00,371,353.04865
132,2019-01-26 18:00:00,372,362.53918
132,2019-01-26 19:00:00,379,385.31653
132,2019-01-26 20:00:00,376,399.55237
132,2019-01-26 21:00:00,274,417.5844
132,2019-01-26 22:00:00,366,381.52032
132,2019-01-26 23:00:00,200,291.36005
132,2019-01-27 00:00:00,146,208.7922
132,2019-01-27 01:00:00,63,116.733826
132,2019-01-27 02:00:00,43,24.675447
132,2019-01-27 03:00:00,18,30.36978
132,2019-01-27 04:00:00,43,29.420723
132,2019-01-27 05:00:00,118,104.39612
132,2019-01-27 06:00:00,213,186.0149
132,2019-01-27 07:00:00,186,199.30167
132,2019-01-27 08:00:00,155,207.84317
132,2019-01-27 09:00:00,165,151.84889
132,2019-01-27 10:00:00,155,170.82999
132,2019-01-27 11:00:00,105,121.4791
132,2019-01-27 12:00:00,146,176.52432
132,2019-01-27 13:00:00,307,279.97137
132,2019-01-27 14:00:00,452,344.50714
132,2019-01-27 15:00:00,538,345.45624
132,2019-01-27 16:00:00,346,373.71823
132,2019-01-27 17:00:00,539,371.84497
132,2019-01-27 18:00:00,394,367.16177
132,2019-01-27 19:00:00,526,394.32422
132,2019-01-27 20:00:00,437,405.5639
132,2019-01-27 21:00:00,599,468.3186
132,2019-01-27 22:00:00,526,425.23328
132,2019-01-27 23:00:00,433,343.74585
132,2019-01-28 00:00:00,301,253.82867
132,2019-01-28 01:00:00,123,133.00249
132,2019-01-28 02:00:00,32,29.972393
132,2019-01-28 03:00:00,38,34.65558
132,2019-01-28 04:00:00,39,40.2754
132,2019-01-28 05:00:00,155,126.446014
132,2019-01-28 06:00:00,302,193.88388
132,2019-01-28 07:00:00,254,232.28603
132,2019-01-28 08:00:00,268,210.74335
132,2019-01-28 09:00:00,221,198.56708
132,2019-01-28 10:00:00,206,194.82053
132,2019-01-28 11:00:00,102,177.02441
132,2019-01-28 12:00:00,226,206.06018
132,2019-01-28 13:00:00,304,317.52002
132,2019-01-28 14:00:00,444,358.73203
132,2019-01-28 15:00:00,344,353.1122
132,2019-01-28 16:00:00,457,443.0294
132,2019-01-28 17:00:00,426,375.5915
132,2019-01-28 18:00:00,443,393.38757
132,2019-01-28 19:00:00,291,407.43713
132,2019-01-28 20:00:00,463,430.8531
132,2019-01-28 21:00:00,477,529.19995
132,2019-01-28 22:00:00,345,531.07324
132,2019-01-28 23:00:00,288,447.7126
132,2019-01-29 00:00:00,283,321.26654
132,2019-01-29 01:00:00,56,187.32744
132,2019-01-29 02:00:00,17,50.57841
132,2019-01-29 03:00:00,23,38.402126
132,2019-01-29 04:00:00,29,39.338764
132,2019-01-29 05:00:00,152,137.68567
132,2019-01-29 06:00:00,231,192.01062
132,2019-01-29 07:00:00,242,234.1593
132,2019-01-29 08:00:00,134,213.55328
